timestamp,ax,ay,az,vibration,rms
9337,-0.0884,0.1858,0.8999,0.0861,0.9125
9357,-0.1226,0.1206,0.8794,0.0575,0.9033
9377,0.0061,-0.0701,0.8994,0.0400,0.9009
9397,0.2510,-0.1519,0.9321,0.0924,0.9136
9417,0.1602,-0.0010,0.9260,0.0274,0.9206
9437,-0.0354,0.1514,0.8918,0.0662,0.9104
9457,-0.1458,0.1609,0.8879,0.0732,0.9046
9477,-0.0581,-0.0105,0.8889,0.0297,0.8994
9497,0.1531,-0.1650,0.9119,0.0817,0.9030
9517,0.2485,-0.1523,0.9421,0.0773,0.9212
9537,0.1340,0.0093,0.9285,0.0234,0.9256
9557,-0.0569,0.1704,0.8955,0.0801,0.9138
9577,-0.1462,0.1521,0.9028,0.0725,0.9111
9597,-0.0344,-0.0461,0.9023,0.0341,0.9076
9617,0.1775,-0.1846,0.9119,0.0860,0.9102
9637,0.2454,-0.1279,0.9421,0.0672,0.9266
9657,0.0952,0.0593,0.9263,0.0367,0.9269
9677,-0.0891,0.1792,0.8962,0.0844,0.9153
9697,-0.1272,0.1157,0.8816,0.0577,0.9059
9717,0.0239,-0.0991,0.9004,0.0485,0.9029
9737,0.2322,-0.1802,0.9192,0.0900,0.9117
9757,0.2239,-0.0796,0.9233,0.0471,0.9216
9777,0.0242,0.1143,0.9209,0.0582,0.9193
9797,-0.1370,0.1838,0.8918,0.0886,0.9098
9817,-0.0913,0.0247,0.8831,0.0356,0.9017
9837,0.1130,-0.1484,0.9082,0.0689,0.9033
9857,0.2539,-0.1548,0.9309,0.0810,0.9178
9877,0.1560,-0.0081,0.9241,0.0239,0.9229
9897,-0.0574,0.1655,0.8977,0.0806,0.9122
9917,-0.1492,0.1431,0.9021,0.0732,0.9094
9937,-0.0186,-0.0625,0.9006,0.0363,0.9058
9957,0.2039,-0.1870,0.9172,0.0889,0.9117
9977,0.2466,-0.1016,0.9338,0.0603,0.9254
9997,0.0459,0.0969,0.9214,0.0511,0.9227
10017,-0.1252,0.1875,0.8958,0.0891,0.9129
10037,-0.1013,0.0415,0.8813,0.0398,0.9035
10057,0.2239,-0.1775,0.9290,0.0975,0.9125
10077,0.2280,-0.0769,0.9255,0.0535,0.9222
10097,0.0176,0.1250,0.9106,0.0562,0.9174
10117,-0.1392,0.1870,0.8860,0.0853,0.9077
10137,-0.0728,0.0010,0.8865,0.0331,0.9008
10157,0.1560,-0.1724,0.9180,0.0824,0.9062
10177,0.2517,-0.1299,0.9470,0.0728,0.9250
10197,0.1008,0.0605,0.9280,0.0343,0.9267
10217,-0.1069,0.1812,0.8953,0.0872,0.9149
10237,-0.1169,0.0723,0.8875,0.0485,0.9069
10257,0.0662,-0.1372,0.9114,0.0605,0.9074
10277,0.2549,-0.1655,0.9268,0.0867,0.9188
10297,0.1672,-0.0176,0.9229,0.0266,0.9237
10317,-0.0588,0.1594,0.8989,0.0794,0.9130
10337,-0.1440,0.1360,0.8865,0.0711,0.9051
10357,0.0112,-0.0864,0.8940,0.0422,0.9008
10377,0.2239,-0.1890,0.9177,0.0897,0.9097
10397,0.2192,-0.0618,0.9194,0.0454,0.9185
10417,0.0078,0.1387,0.9045,0.0657,0.9120
10437,-0.1465,0.1672,0.8872,0.0844,0.9037
10457,-0.0503,-0.0347,0.9009,0.0327,0.9021
10477,0.1904,-0.1836,0.9182,0.0865,0.9089
10497,0.2522,-0.0959,0.9297,0.0627,0.9221
10517,0.0454,0.1062,0.9231,0.0523,0.9211
10537,-0.1340,0.1909,0.8921,0.0904,0.9110
10557,-0.0859,0.0122,0.8831,0.0362,0.9023
10577,0.1548,-0.1841,0.9165,0.0835,0.9072
10597,0.2554,-0.1272,0.9363,0.0718,0.9227
10617,0.0701,0.0825,0.9167,0.0431,0.9205
10637,-0.1365,0.1941,0.8977,0.0936,0.9118
10657,-0.0879,0.0195,0.8875,0.0356,0.9042
10677,0.2351,-0.1724,0.9304,0.0972,0.9141
10697,0.1860,-0.0176,0.9250,0.0368,0.9214
10717,-0.0469,0.1575,0.8914,0.0702,0.9106
10737,-0.1423,0.1306,0.8914,0.0668,0.9053
10757,0.0286,-0.1057,0.9082,0.0510,0.9048
10777,0.2478,-0.1763,0.9204,0.0918,0.9139
10797,0.1821,-0.0154,0.9282,0.0327,0.9223
10817,-0.0654,0.1694,0.8926,0.0813,0.9105
10837,-0.1328,0.1157,0.8875,0.0634,0.9036
10857,0.0476,-0.1218,0.9124,0.0543,0.9053
10877,0.2544,-0.1682,0.9209,0.0881,0.9153
10897,0.1550,0.0090,0.9180,0.0273,0.9191
10917,-0.0850,0.1782,0.9009,0.0856,0.9107
10937,-0.1299,0.0852,0.8816,0.0568,0.9019
10957,0.0793,-0.1509,0.9109,0.0646,0.9041
10977,0.2529,-0.1555,0.9380,0.0825,0.9201
10997,0.1174,0.0459,0.9253,0.0316,0.9230
11017,-0.1174,0.1846,0.8962,0.0905,0.9125
